Site_id	Ip_counts	Input_counts	m6a_ratio	Sample_group_id	Beta_level
ENSG00000005206_exon_19_264_chr19_+_2353206_2353357	256;185;212;191;175;169	32;112;51;40;59;59	4.312;1.329;3.278;3.102;2.136;2.424	1;1;1;2;2;2	0.753;0.247
ENSG00000005206_exon_19_268_chr19_+_2353210_2353361	256;185;212;191;174;169	32;112;51;40;59;59	4.312;1.329;3.278;3.102;2.125;2.424	1;1;1;2;2;2	0.55;0.45
ENSG00000005206_exon_19_288_chr19_+_2353230_2353381	255;185;210;193;173;169	32;121;50;41;57;56	4.419;1.227;3.315;3.061;2.174;2.562	1;1;1;2;2;2	0.426;0.574
ENSG00000005206_exon_19_709_chr19_+_2353651_2353802	900;130;188;333;138;185	95;177;81;92;195;213	5.249;0.593;1.841;2.386;0.508;0.736	1;1;1;2;2;2	0.945;0.055
ENSG00000005206_exon_19_715_chr19_+_2353657_2353808	899;130;189;333;138;185	95;177;81;73;195;213	5.242;0.593;1.851;2.998;0.508;0.736	1;1;1;2;2;2	0.96;0.04
ENSG00000005339_exon_1_2453_chr16_-_3777506_3777657	435;314;363;378;298;297	19;34;22;39;59;22	12.204;7.217;12.822;6.29;3.629;11.314	1;1;1;2;2;2	0.248;0.752
ENSG00000005339_exon_1_2550_chr16_-_3777603_3777754	1032;692;837;793;624;676	96;77;88;27;78;93	5.962;7.194;7.482;18.836;5.685;6.137	1;1;1;2;2;2	0.709;0.291
ENSG00000005339_exon_1_2621_chr16_-_3777674_3777825	1211;809;941;1010;714;789	94;80;96;42;70;102	7.135;8.091;7.749;15.625;7.226;6.568	1;1;1;2;2;2	0.737;0.263
ENSG00000005339_exon_1_2633_chr16_-_3777686_3777837	1252;842;972;1050;738;822	94;80;96;44;73;103	7.376;8.418;8.009;15.53;7.176;6.773	1;1;1;2;2;2	0.938;0.062
ENSG00000005339_exon_1_2650_chr16_-_3777703_3777854	1243;835;963;1027;731;808	94;78;96;44;73;103	7.324;8.571;7.933;15.176;7.102;6.656	1;1;1;2;2;2	0.995;0.005
ENSG00000005339_exon_1_2681_chr16_-_3777734_3777885	1182;807;913;990;678;771	108;129;115;58;84;114	6.058;4.997;6.268;11.165;5.745;5.706	1;1;1;2;2;2	0.018;0.982
ENSG00000005339_exon_1_2707_chr16_-_3777760_3777911	1219;842;904;1038;697;805	102;146;125;108;104;119	6.588;4.624;5.728;6.278;4.798;5.745	1;1;1;2;2;2	0.73;0.27
ENSG00000005339_exon_1_2714_chr16_-_3777767_3777918	1221;923;947;1108;776;834	99;149;127;126;130;116	6.787;4.963;5.898;5.757;4.286;6.117	1;1;1;2;2;2	0.295;0.705
ENSG00000005339_exon_1_2725_chr16_-_3777778_3777929	1239;911;953;1120;767;827	116;139;124;128;104;121	5.886;5.225;6.09;5.732;5.279;5.796	1;1;1;2;2;2	0.064;0.936
ENSG00000005339_exon_1_2761_chr16_-_3777814_3777965	1339;1035;1101;1272;897;1066	152;207;184;185;202;191	4.87;3.997;4.745;4.524;3.175;4.735	1;1;1;2;2;2	0.336;0.664
ENSG00000005339_exon_1_2781_chr16_-_3777834_3777985	1533;1163;1241;1401;993;1157	162;260;262;213;244;206	5.249;3.583;3.754;4.334;2.918;4.767	1;1;1;2;2;2	0.086;0.914
ENSG00000005339_exon_1_2897_chr16_-_3777950_3778101	2153;1726;1954;1989;1623;1677	242;350;365;280;347;310	4.935;3.946;4.248;4.675;3.352;4.59	1;1;1;2;2;2	0.101;0.899
ENSG00000005339_exon_1_2950_chr16_-_3778003_3778154	1603;1297;1489;1579;1209;1264	172;307;261;246;224;222	5.161;3.383;4.523;4.217;3.866;4.832	1;1;1;2;2;2	0.065;0.935
ENSG00000005339_exon_1_2984_chr16_-_3778037_3778188	1516;1189;1391;1596;1247;1210	134;215;221;194;178;210	6.245;4.434;4.98;5.417;5.022;4.884	1;1;1;2;2;2	0.345;0.655
ENSG00000005339_exon_1_3074_chr16_-_3778127_3778278	809;611;725;994;651;653	94;84;108;131;151;106	4.768;5.811;5.325;4.974;3.083;5.22	1;1;1;2;2;2	0.859;0.141
ENSG00000005339_exon_1_3112_chr16_-_3778165_3778316	793;553;634;856;609;572	65;72;96;108;109;108	6.672;6.164;5.227;5.225;4.004;4.481	1;1;1;2;2;2	0.046;0.954
ENSG00000005339_exon_1_3211_chr16_-_3778264_3778415	1428;1124;1264;1408;1021;1012	129;158;141;180;114;129	6.139;5.692;7.1;5.146;6.416;6.628	1;1;1;2;2;2	0.544;0.456
ENSG00000005339_exon_1_3388_chr16_-_3778441_3778592	3782;2880;3377;3584;2677;2810	265;363;374;307;209;273	7.898;6.361;7.171;7.688;9.159;8.734	1;1;1;2;2;2	0.792;0.208
ENSG00000005339_exon_1_3395_chr16_-_3778448_3778599	3628;2776;3265;3426;2559;2730	260;346;374;299;209;254	7.742;6.422;6.935;7.544;8.755;9.127	1;1;1;2;2;2	0.173;0.827
ENSG00000005339_exon_1_3404_chr16_-_3778457_3778608	3132;2379;2815;2819;2195;2360	231;286;332;241;187;206	7.499;6.67;6.732;7.683;8.422;9.72	1;1;1;2;2;2	0.187;0.813
ENSG00000005339_exon_1_3425_chr16_-_3778478_3778629	2639;2018;2324;2377;1824;1977	214;235;274;207;160;188	6.818;6.869;6.73;7.564;8.155;8.923	1;1;1;2;2;2	0.099;0.901
ENSG00000005339_exon_1_3497_chr16_-_3778550_3778701	1661;1291;1419;1537;1169;1275	193;207;216;186;124;175	4.772;4.982;5.208;5.438;6.765;6.176	1;1;1;2;2;2	0.427;0.573
ENSG00000005339_exon_1_3613_chr16_-_3778666_3778817	650;621;601;642;489;491	130;204;273;179;169;177	2.776;2.436;1.747;2.36;2.075;2.353	1;1;1;2;2;2	0.236;0.764
ENSG00000005339_exon_1_3641_chr16_-_3778694_3778845	639;622;590;636;473;470	122;207;291;195;170;183	2.897;2.404;1.61;2.147;1.996;2.184	1;1;1;2;2;2	0.966;0.034
ENSG00000005339_exon_1_3656_chr16_-_3778709_3778860	637;628;585;610;470;463	126;222;350;196;209;189	2.801;2.269;1.328;2.049;1.608;2.081	1;1;1;2;2;2	0.754;0.246
ENSG00000005339_exon_1_3702_chr16_-_3778755_3778906	560;578;538;550;396;404	120;193;303;214;197;178	2.576;2.399;1.411;1.696;1.444;1.922	1;1;1;2;2;2	0.595;0.405
ENSG00000005339_exon_1_3713_chr16_-_3778766_3778917	540;569;522;544;385;397	106;192;303;214;197;178	2.815;2.372;1.368;1.677;1.406;1.89	1;1;1;2;2;2	0.298;0.702
ENSG00000005339_exon_1_3951_chr16_-_3779004_3779155	319;225;277;339;222;207	24;25;60;76;45;68	7.23;7.024;3.674;2.935;3.52;2.593	1;1;1;2;2;2	0.981;0.019
ENSG00000005339_exon_1_4140_chr16_-_3779193_3779344	522;428;370;465;366;321	94;148;90;124;53;48	3.077;2.319;3.269;2.458;4.951;5.575	1;1;1;2;2;2	0.939;0.061
ENSG00000005339_exon_1_4245_chr16_-_3779298_3779449	879;701;601;683;617;576	214;269;263;251;239;151	2.271;2.088;1.811;1.791;1.852;3.245	1;1;1;2;2;2	0.079;0.921
ENSG00000005339_exon_1_4301_chr16_-_3779354_3779505	753;616;558;595;568;556	232;384;438;242;290;163	1.796;1.284;1.012;1.617;1.404;2.885	1;1;1;2;2;2	0.196;0.804
ENSG00000005339_exon_1_4378_chr16_-_3779431_3779582	266;241;199;217;199;192	108;227;361;101;150;127	1.363;0.852;0.438;1.416;0.95;1.282	1;1;1;2;2;2	0.292;0.708
ENSG00000005339_exon_30_149_chr16_-_3900445_3900596	924;621;765;786;573;643	111;127;79;48;106;51	4.614;3.91;7.666;10.679;3.867;10.717	1;1;1;2;2;2	0.988;0.012
ENSG00000005339_exon_30_174_chr16_-_3900470_3900621	902;597;734;773;562;614	110;126;58;55;121;65	4.542;3.789;9.902;9.184;3.334;7.92	1;1;1;2;2;2	0.081;0.919
ENSG00000005339_exon_30_179_chr16_-_3900475_3900626	925;605;750;779;569;628	114;153;58;55;127;64	4.505;3.168;10.108;9.258;3.216;8.235	1;1;1;2;2;2	0.745;0.255
ENSG00000005339_exon_30_185_chr16_-_3900481_3900632	1034;673;817;865;615;672	117;195;65;62;169;98	4.876;2.761;9.932;9.14;2.608;5.775	1;1;1;2;2;2	0.874;0.126
ENSG00000005339_exon_30_208_chr16_-_3900504_3900655	999;678;795;843;583;668	110;192;69;107;157;88	5.031;2.829;9.065;5.191;2.657;6.434	1;1;1;2;2;2	0.047;0.953
ENSG00000005339_exon_30_213_chr16_-_3900509_3900660	1002;681;796;845;577;673	116;192;69;107;157;88	4.763;2.841;9.076;5.203;2.632;6.479	1;1;1;2;2;2	0.128;0.872
ENSG00000005339_exon_30_319_chr16_-_3900615_3900766	412;319;314;346;242;270	78;130;72;84;74;79	2.923;1.962;3.426;2.708;2.321;2.876	1;1;1;2;2;2	0.134;0.866
ENSG00000005339_exon_30_392_chr16_-_3900688_3900839	162;122;123;135;108;101	71;77;69;68;22;25	1.258;1.271;1.408;1.302;3.446;3.394	1;1;1;2;2;2	0.092;0.908
ENSG00000005339_exon_30_401_chr16_-_3900697_3900848	260;229;258;232;213;194	103;144;146;115;87;127	1.396;1.276;1.397;1.323;1.75;1.295	1;1;1;2;2;2	0.966;0.034
ENSG00000005448_exon_5_13_chr2_+_74652708_74652859	115;85;87;69;112;84	35;60;72;31;45;48	1.797;1.132;0.957;1.447;1.783;1.476	1;1;1;2;2;2	0.417;0.583
ENSG00000005448_exon_5_23_chr2_+_74652718_74652869	115;85;87;69;114;82	35;60;71;31;45;48	1.797;1.132;0.971;1.447;1.813;1.427	1;1;1;2;2;2	0.215;0.785
ENSG00000005483_exon_20_24_chr7_+_104742355_104742506	102;108;90;151;82;149	23;28;83;37;96;41	2.42;3.029;0.863;2.656;0.612;3.056	1;1;1;2;2;2	0.099;0.901
ENSG00000005483_exon_20_39_chr7_+_104742370_104742521	102;102;90;147;81;144	23;22;83;37;96;41	2.42;3.616;0.863;2.583;0.605;2.959	1;1;1;2;2;2	0.691;0.309
ENSG00000005483_exon_20_46_chr7_+_104742377_104742528	102;98;86;144;74;137	21;21;77;34;96;56	2.63;3.645;0.893;2.745;0.556;2.078	1;1;1;2;2;2	0.984;0.016
ENSG00000005483_exon_31_325_chr7_+_104752595_104752746	273;221;225;281;135;254	65;47;77;71;89;42	2.304;3.752;2.322;2.602;1.083;5.091	1;1;1;2;2;2	0.666;0.334
ENSG00000005483_exon_31_350_chr7_+_104752620_104752771	324;259;270;354;156;306	79;47;92;67;89;42	2.277;4.405;2.331;3.466;1.249;6.128	1;1;1;2;2;2	0.119;0.881
ENSG00000005483_exon_31_371_chr7_+_104752641_104752792	577;431;419;635;300;518	95;37;100;73;85;87	3.368;9.339;3.307;5.707;2.519;5.05	1;1;1;2;2;2	0.327;0.673
ENSG00000005483_exon_31_406_chr7_+_104752676_104752827	578;440;428;662;311;538	94;36;79;74;77;83	3.408;9.799;4.293;5.871;2.87;5.512	1;1;1;2;2;2	0.322;0.678
ENSG00000005483_exon_31_421_chr7_+_104752691_104752842	608;470;458;744;344;598	96;65;85;78;91;85	3.514;5.734;4.245;6.265;2.697;5.978	1;1;1;2;2;2	0.533;0.467
ENSG00000005483_exon_31_432_chr7_+_104752702_104752853	609;471;458;745;343;598	96;65;85;78;91;85	3.52;5.745;4.245;6.274;2.69;5.978	1;1;1;2;2;2	0.229;0.771
ENSG00000005483_exon_31_461_chr7_+_104752731_104752882	563;421;415;702;305;552	75;44;45;66;67;56	4.147;7.644;7.33;6.974;3.226;8.325	1;1;1;2;2;2	0.24;0.76
ENSG00000005483_exon_31_476_chr7_+_104752746_104752897	543;410;403;680;304;542	75;33;45;66;89;56	4;9.687;7.113;6.758;2.438;8.183	1;1;1;2;2;2	0.007;0.993
ENSG00000005483_exon_31_533_chr7_+_104752803_104752954	462;373;334;630;305;466	36;31;34;54;73;50	6.988;9.393;7.753;7.629;2.968;7.928	1;1;1;2;2;2	0.056;0.944
ENSG00000005483_exon_31_551_chr7_+_104752821_104752972	504;401;362;667;332;489	36;31;25;52;78;51	7.622;10.095;11.188;8.373;3.032;8.14	1;1;1;2;2;2	0.226;0.774
ENSG00000005483_exon_31_871_chr7_+_104753141_104753292	342;282;222;381;234;337	25;32;55;22;26;45	7.468;6.871;3.171;11.03;6.33;6.262	1;1;1;2;2;2	0.833;0.167
ENSG00000005483_exon_31_879_chr7_+_104753149_104753300	350;289;231;390;235;342	26;32;54;23;26;47	7.364;7.059;3.367;10.829;6.355;6.084	1;1;1;2;2;2	0.008;0.992
ENSG00000005483_exon_31_954_chr7_+_104753224_104753375	386;325;270;434;263;408	34;44;51;43;27;61	6.153;5.899;4.176;6.567;6.867;5.631	1;1;1;2;2;2	0.092;0.908
ENSG00000005812_exon_6_198_chr13_-_77595844_77595995	566;435;487;722;399;656	70;109;37;138;38;160	4.449;3.2;10.33;3.431;7.457;3.472	1;1;1;2;2;2	0.998;0.002
ENSG00000005812_exon_7_153_chr13_-_77601113_77601264	182;99;128;183;121;138	35;31;31;72;25;97	2.824;2.493;3.286;1.676;3.393;1.205	1;1;1;2;2;2	0.991;0.009
ENSG00000005812_exon_7_82_chr13_-_77601042_77601193	192;118;151;216;141;161	34;30;48;78;25;98	3.059;3.077;2.488;1.82;3.976;1.387	1;1;1;2;2;2	0.911;0.089
ENSG00000005889_exon_18_132_chrX_+_24228440_24228591	317;265;210;374;242;320	31;32;50;40;84;31	5.657;6.472;3.315;6.069;2.051;8.523	1;1;1;2;2;2	0.406;0.594
ENSG00000005889_exon_18_70_chrX_+_24228378_24228529	296;239;186;345;215;270	27;21;64;67;91;25	6.011;8.898;2.307;3.375;1.689;9.02	1;1;1;2;2;2	0.175;0.825
ENSG00000006007_exon_1_1548_chr16_-_19514561_19514712	104;89;126;96;82;74	32;48;68;33;72;41	1.766;1.485;1.465;1.891;0.81;1.528	1;1;1;2;2;2	0.411;0.589
ENSG00000006007_exon_1_1559_chr16_-_19514572_19514723	106;89;126;96;82;77	32;48;77;33;72;41	1.784;1.485;1.303;1.891;0.81;1.586	1;1;1;2;2;2	0.161;0.839
ENSG00000006007_exon_1_1601_chr16_-_19514614_19514765	298;179;240;193;171;159	57;43;114;47;47;34	2.879;3.323;1.668;2.679;2.599;3.984	1;1;1;2;2;2	0.943;0.057
ENSG00000006007_exon_1_1671_chr16_-_19514684_19514835	661;376;484;391;338;307	79;90;111;38;59;50	4.638;3.334;3.455;6.682;4.112;5.232	1;1;1;2;2;2	0.016;0.984
ENSG00000006007_exon_1_1702_chr16_-_19514715_19514866	660;379;490;395;338;310	84;98;111;35;59;56	4.322;3.08;3.498;7.296;4.112;4.682	1;1;1;2;2;2	0.609;0.391
ENSG00000006007_exon_1_1715_chr16_-_19514728_19514879	667;380;498;402;337;314	95;115;112;35;59;60	3.89;2.647;3.515;7.431;4.1;4.407	1;1;1;2;2;2	0.665;0.335
ENSG00000006007_exon_1_1722_chr16_-_19514735_19514886	667;374;494;400;333;314	94;115;95;35;59;60	3.929;2.606;4.122;7.392;4.054;4.407	1;1;1;2;2;2	0.954;0.046
ENSG00000006007_exon_1_1737_chr16_-_19514750_19514901	662;367;487;398;331;313	94;117;95;35;59;60	3.903;2.515;4.062;7.354;4.02;4.393	1;1;1;2;2;2	0.669;0.331
ENSG00000006114_exon_1_3678_chr17_-_35878576_35878727	556;382;377;542;406;397	20;33;37;22;29;50	14.901;9.028;7.996;15.688;9.877;6.756	1;1;1;2;2;2	0.652;0.348
ENSG00000006114_exon_10_117_chr17_-_35913332_35913483	408;328;358;446;344;370	61;41;79;32;19;67	3.703;6.397;3.588;9.007;12.542;4.693	1;1;1;2;2;2	0.685;0.315
ENSG00000006114_exon_10_171_chr17_-_35913386_35913537	416;306;343;414;338;370	48;57;67;41;22;75	4.808;4.261;4.046;6.567;10.726;4.164	1;1;1;2;2;2	0.561;0.439
ENSG00000006114_exon_10_287_chr17_-_35913502_35913653	275;163;173;238;176;243	45;72;65;108;88;45	3.374;1.822;2.108;1.439;1.432;4.526	1;1;1;2;2;2	0.987;0.013
ENSG00000006114_exon_10_324_chr17_-_35913539_35913690	193;120;128;176;134;176	45;59;62;108;77;28	2.371;1.617;1.643;1.068;1.239;5.224	1;1;1;2;2;2	0.958;0.042
ENSG00000006114_exon_10_329_chr17_-_35913544_35913695	193;120;128;176;134;176	38;59;62;108;77;28	2.776;1.617;1.643;1.068;1.239;5.224	1;1;1;2;2;2	0.592;0.408
ENSG00000006114_exon_10_361_chr17_-_35913576_35913727	184;119;126;175;128;172	38;42;62;103;77;28	2.649;2.27;1.617;1.123;1.186;5.112	1;1;1;2;2;2	0.791;0.209
ENSG00000006114_exon_10_405_chr17_-_35913620_35913771	198;145;143;182;137;169	31;47;73;74;70;22	3.548;2.463;1.546;1.622;1.388;6.429	1;1;1;2;2;2	0.718;0.282
ENSG00000006114_exon_10_647_chr17_-_35913862_35914013	634;437;486;635;549;510	31;67;106;42;41;103	11.314;5.162;3.644;9.822;9.533;4.207	1;1;1;2;2;2	0.902;0.098
ENSG00000006114_exon_10_687_chr17_-_35913902_35914053	698;491;559;721;589;575	41;86;106;42;47;126	9.343;4.556;4.187;11.156;8.944;3.86	1;1;1;2;2;2	0.84;0.16
ENSG00000006114_exon_10_696_chr17_-_35913911_35914062	704;491;559;730;591;576	41;86;108;42;47;126	9.432;4.556;4.104;11.301;8.973;3.873	1;1;1;2;2;2	0.039;0.961
ENSG00000006114_exon_10_705_chr17_-_35913920_35914071	727;504;571;748;605;595	51;87;112;46;60;126	7.794;4.626;4.034;10.589;7.23;4	1;1;1;2;2;2	0.759;0.241
ENSG00000006114_exon_10_718_chr17_-_35913933_35914084	710;499;562;734;592;585	51;96;127;47;60;126	7.604;4.143;3.502;10.181;7.072;3.93	1;1;1;2;2;2	0.798;0.202
ENSG00000006114_exon_10_725_chr17_-_35913940_35914091	642;436;482;671;500;489	49;82;121;28;58;95	7.143;4.249;3.166;15.398;6.179;4.341	1;1;1;2;2;2	0.984;0.016
ENSG00000006114_exon_10_739_chr17_-_35913954_35914105	645;438;482;673;502;491	57;108;129;34;58;95	6.227;3.252;2.957;12.798;6.202;4.358	1;1;1;2;2;2	0.856;0.144
ENSG00000006114_exon_10_766_chr17_-_35913981_35914132	645;437;479;668;502;489	57;108;129;34;58;95	6.227;3.245;2.938;12.699;6.202;4.341	1;1;1;2;2;2	0.978;0.022
ENSG00000006114_exon_10_771_chr17_-_35913986_35914137	645;436;476;667;502;489	61;108;129;34;58;95	5.844;3.238;2.919;12.679;6.202;4.341	1;1;1;2;2;2	0.103;0.897
ENSG00000006114_exon_9_1428_chr17_-_35902154_35902305	272;225;201;273;191;240	83;33;36;56;26;26	1.805;5.321;4.382;3.189;5.181;7.694	1;1;1;2;2;2	0.92;0.08
ENSG00000006114_exon_9_1499_chr17_-_35902225_35902376	302;249;234;305;251;285	79;39;47;54;60;43	2.122;5.115;3.954;3.695;3.005;5.556	1;1;1;2;2;2	0.253;0.747
ENSG00000006114_exon_9_1504_chr17_-_35902230_35902381	303;255;232;313;250;282	71;39;47;53;60;43	2.354;5.233;3.919;3.866;2.994;5.501	1;1;1;2;2;2	0.341;0.659
ENSG00000006114_exon_9_1523_chr17_-_35902249_35902400	318;260;239;319;262;291	80;41;48;53;60;43	2.204;5.084;3.95;3.93;3.141;5.685	1;1;1;2;2;2	0.703;0.297
ENSG00000006114_exon_9_1529_chr17_-_35902255_35902406	319;263;239;322;264;292	80;41;48;54;60;43	2.212;5.14;3.95;3.896;3.163;5.703	1;1;1;2;2;2	0.505;0.495
ENSG00000006114_exon_9_1554_chr17_-_35902280_35902431	237;179;174;243;207;222	38;43;33;41;34;40	3.411;3.323;4.172;3.851;4.312;4.684	1;1;1;2;2;2	0.78;0.22
ENSG00000006114_exon_9_1568_chr17_-_35902294_35902445	233;177;175;247;204;220	38;43;33;35;34;40	3.347;3.288;4.197;4.57;4.253;4.645	1;1;1;2;2;2	0.294;0.706
ENSG00000006114_exon_9_1599_chr17_-_35902325_35902476	223;160;175;227;191;203	38;24;33;32;50;47	3.205;5.222;4.197;4.587;2.743;3.621	1;1;1;2;2;2	0.9;0.1
ENSG00000006118_exon_9_1146_chr11_+_60703868_60704019	133;116;126;124;77;92	69;62;51;65;41;43	1.064;1.489;1.954;1.257;1.345;1.803	1;1;1;2;2;2	0.981;0.019
ENSG00000006118_exon_9_1166_chr11_+_60703888_60704039	151;123;137;132;98;101	73;63;63;63;52;43	1.142;1.549;1.731;1.372;1.352;1.968	1;1;1;2;2;2	0.592;0.408
ENSG00000006118_exon_9_1211_chr11_+_60703933_60704084	165;130;149;141;108;97	77;52;68;64;51;37	1.19;2.001;1.725;1.446;1.524;2.22	1;1;1;2;2;2	0.45;0.55
ENSG00000006118_exon_9_1221_chr11_+_60703943_60704094	166;129;150;142;106;96	70;52;68;65;51;37	1.31;1.972;1.737;1.435;1.497;2.198	1;1;1;2;2;2	0.741;0.259
ENSG00000006118_exon_9_1238_chr11_+_60703960_60704111	188;122;152;139;113;93	65;57;63;62;65;37	1.589;1.702;1.91;1.47;1.253;2.134	1;1;1;2;2;2	0.005;0.995
ENSG00000006118_exon_9_1408_chr11_+_60704130_60704281	450;316;384;334;261;230	169;83;172;105;129;84	1.474;3.048;1.771;2.1;1.452;2.33	1;1;1;2;2;2	0.994;0.006
ENSG00000006118_exon_9_1496_chr11_+_60704218_60704369	547;340;492;453;371;273	95;76;85;151;101;41	3.194;3.59;4.567;1.97;2.629;5.609	1;1;1;2;2;2	0.921;0.079
ENSG00000006118_exon_9_1517_chr11_+_60704239_60704390	598;350;537;472;414;299	85;76;103;156;104;25	3.874;3.691;4.109;1.991;2.847;9.963	1;1;1;2;2;2	0.859;0.141
ENSG00000006118_exon_9_1532_chr11_+_60704254_60704405	597;350;538;471;416;309	85;76;103;182;106;25	3.867;3.691;4.117;1.706;2.807;10.308	1;1;1;2;2;2	0.919;0.081
ENSG00000006118_exon_9_1581_chr11_+_60704303_60704454	680;393;582;522;470;355	121;90;129;205;116;50	3.106;3.488;3.569;1.68;2.902;6.034	1;1;1;2;2;2	0.87;0.13
ENSG00000006118_exon_9_1711_chr11_+_60704433_60704584	1281;824;986;824;867;676	148;154;195;181;225;118	4.806;4.282;4.019;2.995;2.759;4.865	1;1;1;2;2;2	0.028;0.972
ENSG00000006118_exon_9_1751_chr11_+_60704473_60704624	1250;787;951;805;853;650	133;151;195;155;206;114	5.185;4.176;3.873;3.412;2.963;4.812	1;1;1;2;2;2	0.885;0.115
ENSG00000006194_exon_3_794_chr16_+_3333735_3333886	233;207;307;255;227;193	44;45;79;33;23;60	2.92;3.684;3.077;5.001;6.92;2.713	1;1;1;2;2;2	0.702;0.298
ENSG00000006194_exon_3_863_chr16_+_3333804_3333955	188;171;288;254;220;186	49;57;92;40;48;57	2.099;2.385;2.489;4.131;3.277;2.766	1;1;1;2;2;2	0.302;0.698
ENSG00000006194_exon_3_896_chr16_+_3333837_3333988	194;172;293;248;213;189	49;57;92;40;48;59	2.16;2.399;2.533;4.029;3.178;2.707	1;1;1;2;2;2	0.999;0.001
ENSG00000006194_exon_3_903_chr16_+_3333844_3333995	194;169;273;244;204;194	49;57;92;40;46;59	2.16;2.359;2.357;3.962;3.167;2.775	1;1;1;2;2;2	0.922;0.078
ENSG00000006194_exon_8_1010_chr16_+_3340401_3340552	451;349;412;424;409;299	24;48;21;46;20;65	10.232;5.796;15.279;6;14.209;3.857	1;1;1;2;2;2	0.296;0.704
ENSG00000006194_exon_8_1185_chr16_+_3340576_3340727	427;314;432;355;298;269	78;94;101;53;35;174	3.033;2.667;3.376;4.378;6.049;1.311	1;1;1;2;2;2	0.653;0.347
ENSG00000006194_exon_8_1256_chr16_+_3340647_3340798	377;274;359;296;252;227	68;87;75;50;36;173	3.047;2.516;3.803;3.863;4.973;1.115	1;1;1;2;2;2	0.991;0.009
ENSG00000006194_exon_8_1307_chr16_+_3340698_3340849	286;191;273;246;212;182	47;81;51;36;26;173	3.369;1.89;4.223;4.428;5.743;0.893	1;1;1;2;2;2	0.018;0.982
ENSG00000006194_exon_8_134_chr16_+_3339525_3339676	956;731;828;978;714;599	51;75;70;47;62;155	10.242;7.813;9.306;13.551;8.269;3.281	1;1;1;2;2;2	0.981;0.019
ENSG00000006194_exon_8_152_chr16_+_3339543_3339694	978;742;851;990;724;606	45;63;70;42;62;143	12.006;9.332;9.558;15.32;8.379;3.587	1;1;1;2;2;2	0.986;0.014
ENSG00000006194_exon_8_1651_chr16_+_3341042_3341193	672;437;468;463;438;356	77;62;67;68;52;68	4.831;5.585;5.511;4.468;6.033;4.455	1;1;1;2;2;2	0.702;0.298
ENSG00000006194_exon_8_167_chr16_+_3339558_3339709	984;743;854;992;728;610	45;63;70;42;62;143	12.074;9.344;9.592;15.352;8.422;3.615	1;1;1;2;2;2	0.677;0.323
ENSG00000006194_exon_8_1689_chr16_+_3341080_3341231	663;436;461;449;434;355	76;62;78;68;52;68	4.826;5.573;4.683;4.328;5.968;4.443	1;1;1;2;2;2	0.738;0.262
ENSG00000006194_exon_8_1696_chr16_+_3341087_3341238	656;429;458;440;429;345	76;62;87;68;52;68	4.77;5.487;4.142;4.248;5.903;4.313	1;1;1;2;2;2	0.992;0.008
ENSG00000006194_exon_8_1706_chr16_+_3341097_3341248	659;436;461;441;435;350	82;62;100;68;55;72	4.463;5.573;3.637;4.258;5.673;4.115	1;1;1;2;2;2	0.932;0.068
ENSG00000006194_exon_8_1784_chr16_+_3341175_3341326	547;363;386;314;340;281	72;37;76;54;65;88	4.19;7.88;4.038;3.808;3.703;2.708	1;1;1;2;2;2	0.985;0.015
ENSG00000006194_exon_8_205_chr16_+_3339596_3339747	1252;951;1097;1303;949;820	54;72;95;61;70;144	12.717;10.592;9.136;13.981;9.609;4.82	1;1;1;2;2;2	0.946;0.054
ENSG00000006194_exon_8_214_chr16_+_3339605_3339756	1276;982;1122;1340;993;844	60;55;96;61;60;140	11.749;14.175;9.244;14.382;11.862;5.108	1;1;1;2;2;2	0.948;0.052
ENSG00000006194_exon_8_251_chr16_+_3339642_3339793	1169;940;1059;1242;948;777	43;31;71;48;59;114	14.974;23.651;11.718;16.858;11.52;5.748	1;1;1;2;2;2	0.732;0.268
ENSG00000006194_exon_8_268_chr16_+_3339659_3339810	1165;931;1050;1235;935;769	43;31;71;48;59;114	14.918;23.409;11.616;16.773;11.359;5.692	1;1;1;2;2;2	0.242;0.758
ENSG00000006194_exon_8_292_chr16_+_3339683_3339834	1243;948;1073;1281;992;794	36;49;72;48;57;116	18.78;15.399;11.701;17.394;12.463;5.82	1;1;1;2;2;2	0.863;0.137
ENSG00000006194_exon_8_376_chr16_+_3339767_3339918	646;494;563;622;518;468	35;44;39;34;90;53	10.013;8.97;11.284;11.83;4.105;7.482	1;1;1;2;2;2	0.068;0.932
ENSG00000006194_exon_8_387_chr16_+_3339778_3339929	639;495;561;628;524;468	36;44;39;34;90;56	9.657;8.988;11.243;11.948;4.157;7.059	1;1;1;2;2;2	0.306;0.694
ENSG00000006194_exon_8_654_chr16_+_3340045_3340196	394;282;336;276;268;254	64;55;73;57;97;154	3.415;4.072;3.617;3.17;1.977;1.405	1;1;1;2;2;2	0.95;0.05
ENSG00000006194_exon_8_671_chr16_+_3340062_3340213	398;284;349;279;268;270	64;57;71;42;97;154	3.453;3.967;3.861;4.324;1.977;1.488	1;1;1;2;2;2	0.804;0.196
ENSG00000006194_exon_8_709_chr16_+_3340100_3340251	629;429;538;484;416;418	73;58;87;48;102;196	4.753;5.872;4.87;6.574;2.915;1.806	1;1;1;2;2;2	0.463;0.537
